addpd, FUNCTION, (addpdInstr), SSE/AVX Instruction, SSE
addps, FUNCTION, (addpsInstr), SSE/AVX Instruction, SSE
addsd, FUNCTION, (addsdInstr), SSE/AVX Instruction, SSE
addss, FUNCTION, (addssInstr), SSE/AVX Instruction, SSE
addsubpd, FUNCTION, (addsubpdInstr), SSE/AVX Instruction, SSE
addsubps, FUNCTION, (addsubpsInstr), SSE/AVX Instruction, SSE
aesdec, FUNCTION, (aesdecInstr), SSE/AVX Instruction, SSE
aesdeclast, FUNCTION, (aesdeclastInstr), SSE/AVX Instruction, SSE
aesenc, FUNCTION, (aesencInstr), SSE/AVX Instruction, SSE
aesenclast, FUNCTION, (aesenclastInstr), SSE/AVX Instruction, SSE
aesimc, FUNCTION, (aesimcInstr), SSE/AVX Instruction, SSE
aeskeygenassist, FUNCTION, (aeskeygenassistInstr), SSE/AVX Instruction, SSE
andnpd, FUNCTION, (andnpdInstr), SSE/AVX Instruction, SSE
andnps, FUNCTION, (andnpsInstr), SSE/AVX Instruction, SSE
andpd, FUNCTION, (andpdInstr), SSE/AVX Instruction, SSE
andps, FUNCTION, (andpsInstr), SSE/AVX Instruction, SSE
blendpd, FUNCTION, (blendpdInstr), SSE/AVX Instruction, SSE
blendps, FUNCTION, (blendpsInstr), SSE/AVX Instruction, SSE
blendvpd, FUNCTION, (blendvpdInstr), SSE/AVX Instruction, SSE
blendvps, FUNCTION, (blendvpsInstr), SSE/AVX Instruction, SSE
cmppd, FUNCTION, (cmppdInstr), SSE/AVX Instruction, SSE
cmpps, FUNCTION, (cmppsInstr), SSE/AVX Instruction, SSE
cmpsd, FUNCTION, (cmpsdInstr), SSE/AVX Instruction, SSE
cmpss, FUNCTION, (cmpssInstr), SSE/AVX Instruction, SSE
comisd, FUNCTION, (comisdInstr), SSE/AVX Instruction, SSE
comiss, FUNCTION, (comissInstr), SSE/AVX Instruction, SSE
cvtdq2pd, FUNCTION, (cvtdq2pdInstr), SSE/AVX Instruction, SSE
cvtdq2ps, FUNCTION, (cvtdq2psInstr), SSE/AVX Instruction, SSE
cvtpd2dq, FUNCTION, (cvtpd2dqInstr), SSE/AVX Instruction, SSE
cvtpd2ps, FUNCTION, (cvtpd2psInstr), SSE/AVX Instruction, SSE
cvtps2dq, FUNCTION, (cvtps2dqInstr), SSE/AVX Instruction, SSE
cvtps2pd, FUNCTION, (cvtps2pdInstr), SSE/AVX Instruction, SSE
cvtsd2si, FUNCTION, (cvtsd2siInstr), SSE/AVX Instruction, SSE
cvtsd2ss, FUNCTION, (cvtsd2ssInstr), SSE/AVX Instruction, SSE
cvtsi2sd, FUNCTION, (cvtsi2sdInstr), SSE/AVX Instruction, SSE
cvtsi2ss, FUNCTION, (cvtsi2ssInstr), SSE/AVX Instruction, SSE
cvtss2sd, FUNCTION, (cvtss2sdInstr), SSE/AVX Instruction, SSE
cvtss2si, FUNCTION, (cvtss2siInstr), SSE/AVX Instruction, SSE
cvttpd2dq, FUNCTION, (cvttpd2dqInstr), SSE/AVX Instruction, SSE
cvttps2dq, FUNCTION, (cvttps2dqInstr), SSE/AVX Instruction, SSE
cvttsd2si, FUNCTION, (cvttsd2siInstr), SSE/AVX Instruction, SSE
cvttss2si, FUNCTION, (cvttss2siInstr), SSE/AVX Instruction, SSE
divpd, FUNCTION, (divpdInstr), SSE/AVX Instruction, SSE
divps, FUNCTION, (divpsInstr), SSE/AVX Instruction, SSE
divsd, FUNCTION, (divsdInstr), SSE/AVX Instruction, SSE
divss, FUNCTION, (divssInstr), SSE/AVX Instruction, SSE
dppd, FUNCTION, (dppdInstr), SSE/AVX Instruction, SSE
dpps, FUNCTION, (dppsInstr), SSE/AVX Instruction, SSE
extractps, FUNCTION, (extractpsInstr), SSE/AVX Instruction, SSE
extrq, FUNCTION, (extrqInstr), SSE/AVX Instruction, SSE
haddpd, FUNCTION, (haddpdInstr), SSE/AVX Instruction, SSE
haddps, FUNCTION, (haddpsInstr), SSE/AVX Instruction, SSE
hsubpd, FUNCTION, (hsubpdInstr), SSE/AVX Instruction, SSE
hsubps, FUNCTION, (hsubpsInstr), SSE/AVX Instruction, SSE
insertps, FUNCTION, (insertpsInstr), SSE/AVX Instruction, SSE
insertq, FUNCTION, (insertqInstr), SSE/AVX Instruction, SSE
lddqu, FUNCTION, (lddquInstr), SSE/AVX Instruction, SSE
ldmxcsr, FUNCTION, (ldmxcsrInstr), SSE/AVX Instruction, SSE
maskmovdqu, FUNCTION, (maskmovdquInstr), SSE/AVX Instruction, SSE
maxpd, FUNCTION, (maxpdInstr), SSE/AVX Instruction, SSE
maxps, FUNCTION, (maxpsInstr), SSE/AVX Instruction, SSE
maxsd, FUNCTION, (maxsdInstr), SSE/AVX Instruction, SSE
maxss, FUNCTION, (maxssInstr), SSE/AVX Instruction, SSE
minpd, FUNCTION, (minpdInstr), SSE/AVX Instruction, SSE
minps, FUNCTION, (minpsInstr), SSE/AVX Instruction, SSE
minsd, FUNCTION, (minsdInstr), SSE/AVX Instruction, SSE
minss, FUNCTION, (minssInstr), SSE/AVX Instruction, SSE
movapd, FUNCTION, (movapdInstr), SSE/AVX Instruction, SSE
movaps, FUNCTION, (movapsInstr), SSE/AVX Instruction, SSE
movd, FUNCTION, (movdInstr), SSE/AVX Instruction, SSE
movddup, FUNCTION, (movddupInstr), SSE/AVX Instruction, SSE
movdqa, FUNCTION, (movdqaInstr), SSE/AVX Instruction, SSE
movdqu, FUNCTION, (movdquInstr), SSE/AVX Instruction, SSE
movhlps, FUNCTION, (movhlpsInstr), SSE/AVX Instruction, SSE
movhpd, FUNCTION, (movhpdInstr), SSE/AVX Instruction, SSE
movhps, FUNCTION, (movhpsInstr), SSE/AVX Instruction, SSE
movlhps, FUNCTION, (movlhpsInstr), SSE/AVX Instruction, SSE
movlpd, FUNCTION, (movlpdInstr), SSE/AVX Instruction, SSE
movlps, FUNCTION, (movlpsInstr), SSE/AVX Instruction, SSE
movmskpd, FUNCTION, (movmskpdInstr), SSE/AVX Instruction, SSE
movmskps, FUNCTION, (movmskpsInstr), SSE/AVX Instruction, SSE
movntdq, FUNCTION, (movntdqInstr), SSE/AVX Instruction, SSE
movntdqa, FUNCTION, (movntdqaInstr), SSE/AVX Instruction, SSE
movntpd, FUNCTION, (movntpdInstr), SSE/AVX Instruction, SSE
movntps, FUNCTION, (movntpsInstr), SSE/AVX Instruction, SSE
movntsd, FUNCTION, (movntsdInstr), SSE/AVX Instruction, SSE
movntss, FUNCTION, (movntssInstr), SSE/AVX Instruction, SSE
movq, FUNCTION, (movqInstr), SSE/AVX Instruction, SSE
movsd, FUNCTION, (movsdInstr), SSE/AVX Instruction, SSE
movshdup, FUNCTION, (movshdupInstr), SSE/AVX Instruction, SSE
movsldup, FUNCTION, (movsldupInstr), SSE/AVX Instruction, SSE
movss, FUNCTION, (movssInstr), SSE/AVX Instruction, SSE
movupd, FUNCTION, (movupdInstr), SSE/AVX Instruction, SSE
movups, FUNCTION, (movupsInstr), SSE/AVX Instruction, SSE
