ah, KEYWORD, Reg8,4, ah
al, KEYWORD, Reg8,0, al
ax, KEYWORD, Reg16,0, ax
bh, KEYWORD, Reg8,7, bh
bl, KEYWORD, Reg8,3, bl
bp, KEYWORD, Reg16,5, bp
bt, FUNCTION, (btInstr), Function description, 
bx, KEYWORD, Reg16,3, bx
ch, KEYWORD, Reg8,5, ch
cl, KEYWORD, Reg8,1, cl
cs, KEYWORD, segReg,1, cs
cx, KEYWORD, Reg16,1, cx
db, FUNCTION, (DBDirective), Function description, 
dd, FUNCTION, (DDDirective), Function description, 
df, FUNCTION, (DFDirective), Function description, 
dh, KEYWORD, Reg8,6, dh
di, KEYWORD, Reg16,7, di
dl, KEYWORD, Reg8,2, dl
do, FUNCTION, (DODirective), Function description, do
dp, FUNCTION, (DFDirective), Function description, 
dq, FUNCTION, (DQDirective), Function description, 
ds, KEYWORD, segReg,3, ds
dt, FUNCTION, (DTDirective), Function description, 
du, FUNCTION, (DUDirective), Function description, 
dw, FUNCTION, (DWDirective), Function description, 
dx, KEYWORD, Reg16,2, dx
eq, KEYWORD, operator, booleqop, eq =
es, KEYWORD, segReg,0, es
fs, KEYWORD, segReg386,0, fs
ge, KEYWORD, operator, geop, ge >=
gs, KEYWORD, segReg386,1, gs
gt, KEYWORD, operator, gtop, gt >
if, FUNCTION, (IfDirective), Function description, 
in, FUNCTION, (inInstr), Function description, 
ja, FUNCTION, (jaInstr), Function description, 
jb, FUNCTION, (jbInstr), Function description, 
jc, FUNCTION, (jbInstr), Function description, 
je, FUNCTION, (jzInstr), Function description, 
jg, FUNCTION, (jgInstr), Function description, 
jl, FUNCTION, (jlInstr), Function description, 
jo, FUNCTION, (joInstr), Function description, 
jp, FUNCTION, (jpInstr), Function description, 
js, FUNCTION, (jsInstr), Function description, 
jz, FUNCTION, (jzInstr), Function description, 
le, KEYWORD, operator, leop, le <=
lt, KEYWORD, operator, ltop, lt <
ne, KEYWORD, operator, neop, ne !=
or, FUNCTION, (orInstr), Function description, 
r8, KEYWORD, LMReg64,0, r8
r9, KEYWORD, LMReg64,1, r9
si, KEYWORD, Reg16,6, si
sp, KEYWORD, Reg16,4, sp
ss, KEYWORD, segReg,2, ss
st, KEYWORD, FPUReg,0, st
ud, FUNCTION, (udInstr), Function description, 
aaa, FUNCTION, (aaaInstr), Function description, 
aad, FUNCTION, (aadInstr), Function description, 
aam, FUNCTION, (aamInstr), Function description, 
aas, FUNCTION, (aasInstr), Function description, 
adc, FUNCTION, (adcInstr), Function description, 
add, FUNCTION, (addInstr), Function description, 
and, FUNCTION, (andInstr), Function description, 
bpl, KEYWORD, lmlowReg,5, bpl
bsf, FUNCTION, (bsfInstr), Function description, 
bsr, FUNCTION, (bsrInstr), Function description, 
btc, FUNCTION, (btcInstr), Function description, 
btr, FUNCTION, (btrInstr), Function description, 
bts, FUNCTION, (btsInstr), Function description, 
cbw, FUNCTION, (cbwInstr), Function description, 
cdq, FUNCTION, (cdqInstr), Function description, 
clc, FUNCTION, (clcInstr), Function description, 
cld, FUNCTION, (cldInstr), Function description, 
cli, FUNCTION, (cliInstr), Function description, 
cmc, FUNCTION, (cmcInstr), Function description, 
cmp, FUNCTION, (cmpInstr), Function description, 
cqo, FUNCTION, (cqoInstr), Function description, 
cr0, KEYWORD, CtrlReg,0, cr0
cr1, KEYWORD, CtrlReg,1, cr1
cr2, KEYWORD, CtrlReg,2, cr2
cr3, KEYWORD, CtrlReg,3, cr3
cr4, KEYWORD, CtrlReg,4, cr4
cr5, KEYWORD, CtrlReg,5, cr5
cr6, KEYWORD, CtrlReg,6, cr6
cr7, KEYWORD, CtrlReg,7, cr7
cr8, KEYWORD, CtrlReg64,0, cr8
cr9, KEYWORD, CtrlReg64,1, cr9
cwd, FUNCTION, (cwdInstr), Function description, 
daa, FUNCTION, (daaInstr), Function description, 
das, FUNCTION, (dasInstr), Function description, 
dec, FUNCTION, (decInstr), Function description, 
def, KEYWORD, operator,1, def
dil, KEYWORD, lmlowReg,7, dil
div, FUNCTION, (divInstr), Function description, 
dqw, FUNCTION, (DODirective), Function description, 
dr0, KEYWORD, DbgReg,0, dr0
dr1, KEYWORD, DbgReg,1, dr1
dr2, KEYWORD, DbgReg,2, dr2
dr3, KEYWORD, DbgReg,3, dr3
dr4, KEYWORD, DbgReg,4, dr4
dr5, KEYWORD, DbgReg,5, dr5
dr6, KEYWORD, DbgReg,6, dr6
dr7, KEYWORD, DbgReg,7, dr7
dr8, KEYWORD, DbgReg64,0, dr8
dr9, KEYWORD, DbgReg64,1, dr9
dup, FUNCTION, (DUPDirective), Function description, 
eax, KEYWORD, Reg32,0, eax
ebp, KEYWORD, Reg32,5, ebp
ebx, KEYWORD, Reg32,3, ebx
ecx, KEYWORD, Reg32,1, ecx
edi, KEYWORD, Reg32,7, edi
edx, KEYWORD, Reg32,2, edx
end, FUNCTION, (ENDDirective), Function description, 
equ, FUNCTION, (EQUDirective), Function description, 
esc, FUNCTION, (EscInstr), Function description, 
esi, KEYWORD, Reg32,6, esi
esp, KEYWORD, Reg32,4, esp
far, KEYWORD, distspec,3, far
fld, FUNCTION, (fldInstr), Function description, 
for, FUNCTION, (ForDirective), Function description, 
fst, FUNCTION, (fstInstr), Function description, 
hlt, FUNCTION, (hltInstr), Function description, 
inc, FUNCTION, (incInstr), Function description, 
ins, FUNCTION, (insInstr), Function description, 
int, FUNCTION, (intInstr), Function description, 
irp, FUNCTION, (IRPDirective), Function description, 
jae, FUNCTION, (jaeInstr), Function description, 
jbe, FUNCTION, (jbeInstr), Function description, 
jge, FUNCTION, (jgeInstr), Function description, 
jle, FUNCTION, (jleInstr), Function description, 
jmp, FUNCTION, (jmpInstr), Function description, 
jna, FUNCTION, (jbeInstr), Function description, 
jnb, FUNCTION, (jaeInstr), Function description, 
jnc, FUNCTION, (jncInstr), Function description, 
jne, FUNCTION, (jnzInstr), Function description, 
jng, FUNCTION, (jleInstr), Function description, 
jnl, FUNCTION, (jgeInstr), Function description, 
jno, FUNCTION, (jnoInstr), Function description, 
jnp, FUNCTION, (jpoInstr), Function description, 
jns, FUNCTION, (jnsInstr), Function description, 
jnz, FUNCTION, (jnzInstr), Function description, 
jpe, FUNCTION, (jpInstr), Function description, 
jpo, FUNCTION, (jpoInstr), Function description, 
lar, FUNCTION, (larInstr), Function description, 
lds, FUNCTION, (ldsInstr), Function description, 
lea, FUNCTION, (leaInstr), Function description, 
les, FUNCTION, (lesInstr), Function description, 
lfs, FUNCTION, (lfsInstr), Function description, 
lgs, FUNCTION, (lgsInstr), Function description, 
low, KEYWORD, operator,2, low
lsl, FUNCTION, (lslInstr), Function description, 
lss, FUNCTION, (lssInstr), Function description, 
ltr, FUNCTION, (ltrInstr), Function description, 
mm0, KEYWORD, mmxReg,0, mm0
