aad,FUNCTION,aadInstr,Function description,aaxInstr,BYTE,0x0D5,,
aam,FUNCTION,aamInstr,Function description,aaxInstr,BYTE,0x0D4,,
align,FUNCTION,AlignDirective,Function description,AlignDirec,,,,
even,FUNCTION,AlignDirective,Function description,AlignDirec,,,,
arpl,FUNCTION,arplInstr,Function description,ArplPInstr,BYTE,0x63,,
fadd,FUNCTION,faddInstr,Function description,BasicFPU,BYTE,0x0D8 0 0x0DC 0 0 0 0x0D8 0x0C0 0x0DC 0x0C0,,
fdiv,FUNCTION,fdivInstr,Function description,BasicFPU,BYTE,0x0D8 48 0x0DC 48 0 0 0x0D8 0x0F0 0x0DC 0x0F8,,
fdivr,FUNCTION,fdivrInstr,Function description,BasicFPU,BYTE,0x0D8 56 0x0DC 56 0 0 0x0D8 0x0F8 0x0DC 0x0F0,,
fmul,FUNCTION,fmulInstr,Function description,BasicFPU,BYTE,0x0D8 8 0x0DC 8 0 0 0x0D8 0x0C8 0x0DC 0x0C8,,
fsub,FUNCTION,fsubInstr,Function description,BasicFPU,BYTE,0x0D8 32 0x0DC 32 0 0 0x0D8 0x0E0 0x0DC 0x0E8,,
fsubr,FUNCTION,fsubrInstr,Function description,BasicFPU,BYTE,0x0D8 40 0x0DC 40 0 0 0x0D8 0x0E8 0x0DC 0x0E0,,
faddp,FUNCTION,faddpInstr,Function description,BasicFPU2,BYTE,0x0DE 0x0C0,,
fdivp,FUNCTION,fdivpInstr,Function description,BasicFPU2,BYTE,0x0DE 0x0F8,,
fdivrp,FUNCTION,fdivrpInstr,Function description,BasicFPU2,BYTE,0x0DE 0x0F0,,
fmulp,FUNCTION,fmulpInstr,Function description,BasicFPU2,BYTE,0x0DE 0x0C8,,
fsubp,FUNCTION,fsubpInstr,Function description,BasicFPU2,BYTE,0x0DE 0x0E8,,
fsubrp,FUNCTION,fsubrpInstr,Function description,BasicFPU2,BYTE,0x0DE 0x0E0,,
adc,FUNCTION,adcInstr,Function description,BasicInstr,BYTE,16,,
add,FUNCTION,addInstr,Function description,BasicInstr,BYTE,0,,
and,FUNCTION,andInstr,Function description,BasicInstr,BYTE,32,,
cmp,FUNCTION,cmpInstr,Function description,BasicInstr,BYTE,56,,
or,FUNCTION,orInstr,Function description,BasicInstr,BYTE,8,,
sbb,FUNCTION,sbbInstr,Function description,BasicInstr,BYTE,24,,
sub,FUNCTION,subInstr,Function description,BasicInstr,BYTE,40,,
xor,FUNCTION,xorInstr,Function description,BasicInstr,BYTE,48,,
packuswb,FUNCTION,packuswbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x67,,
paddb,FUNCTION,paddbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0FC,,
paddd,FUNCTION,padddInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0FE,,
paddq,FUNCTION,paddqInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0D4,,
paddsb,FUNCTION,paddsbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0EC,,
paddsw,FUNCTION,paddswInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0ED,,
paddusb,FUNCTION,paddusbInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0DC,,
paddusw,FUNCTION,padduswInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0DD,,
paddw,FUNCTION,paddwInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0FD,,
pand,FUNCTION,pandInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0DB,,
pandn,FUNCTION,pandnInstr,SSE/AVX Instruction,BasicMMX,BYTE,0x0DF,,
